predictor,n,estimate_per_1sd,std_error,ci_low,ci_high,p_value,p_adj_fdr
ptype_category_clarification_reason_the_developer_asks_a_vague_question_about_expected_outputs_seeking_clarification_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_a_vague_question_about_the_systems_goal_seeking_clarification_rather_than_code_debugging_or_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_a_brief_description_of_the_systems_objective_which_is_a_request_for_clarification_rather_than_code_or_testing_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_a_description_of_the_function_to_be_tested_seeking_clarification_about_its_structure_before_proceeding_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_a_detailed_summary_of_how_to_implement_the_new_fridayafter3pm_exclusion_seeking_explanation_rather_than_code_tests_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_a_list_of_at_least_three_invariants_that_should_always_hold_seeking_clarification_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_a_list_of_constraints_seeking_clarification_of_requirements_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_a_short_explanation_of_a_documentation_file_about_running_pytest_which_is_a_request_for_clarification_rather_than_code_generation_debugging_or_test_creation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_a_simple_explanation_of_how_their_code_meets_a_new_requirement_seeking_clarification_rather_than_code_debugging_tests_or_specification_usage_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_a_simple_list_of_steps_to_commit_code_seeking_clarification_instructions_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_an_explanation_of_file_contents_and_requirements_seeking_clarification_rather_than_code_or_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_an_explanation_of_how_a_solution_addresses_a_previously_mentioned_bug_seeking_clarification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_an_explanation_of_how_something_correlates_indicating_a_need_for_clarification_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_an_explanation_of_how_the_new_implementation_meets_the_requirement_and_what_needs_to_be_carried_over_seeking_clarification_rather_than_code_or_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_an_explanation_of_the_code_seeking_clarification_rather_than_debugging_generating_new_code_or_creating_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_an_explanation_of_the_test_to_understand_and_resolve_errors_indicating_a_need_for_clarification_rather_than_code_writing_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_an_explanation_of_the_test_to_understand_and_resolve_errors_seeking_clarification_rather_than_new_code_or_debugging_output_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_an_explanation_of_tie_breaking_rules_seeking_clarification_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_constraints_and_assumptions_seeking_clarification_of_the_problem_requirements_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_descriptions_of_input_parameters_seeking_clarification_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_descriptions_of_input_parameters_seeking_clarification_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_detailed_explanations_of_input_parameter_types_formats_valid_values_and_return_description_which_is_a_request_for_clarification_rather_than_code_or_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_guidance_on_creating_a_new_git_branch_which_is_a_clarification_request_not_related_to_code_generation_debugging_testing_or_specifications_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_for_help_understanding_assumptions_in_their_code_which_is_a_request_for_clarification_rather_than_code_debugging_testing_or_referencing_a_specific_specification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_how_the_vague_requirement_works_in_practice_and_requests_examples_indicating_they_need_clarification_of_the_requirement_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_how_to_execute_the_provided_pytest_commands_in_vscode_on_windows_seeking_clarification_on_running_tests_rather_than_generating_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_how_to_install_a_component_at_the_user_level_so_they_dont_need_to_reinstall_seeking_clarification_on_the_installation_approach_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_the_llm_to_describe_the_systems_objective_in_1_2_sentences_which_is_a_request_for_clarification_rather_than_code_debugging_testing_or_specification_usage_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_the_llm_to_provide_a_list_of_constraints_seeking_information_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_the_llm_to_restate_a_textual_requirement_seeking_a_clearer_or_corrected_version_which_is_a_clarification_request_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_the_llm_to_summarize_the_systems_objective_in_1_2_sentences_which_is_a_request_for_clarification_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_the_model_to_briefly_explain_a_documentation_file_about_running_pytest_tests_which_is_a_request_for_clarification_rather_than_code_generation_debugging_or_test_creation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_the_model_to_doublecheck_previous_output_and_possibly_expand_it_indicating_a_request_for_clarification_rather_than_debugging_or_new_code_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_the_model_to_extract_and_list_functional_requirements_from_a_specification_which_is_a_request_for_clarification_interpretation_of_requirements_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_the_model_to_extract_functional_requirements_from_a_specification_seeking_clarification_of_requirements_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_the_model_to_provide_a_list_of_invariants_which_is_a_request_for_information_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_the_model_to_provide_additional_constraints_and_assumptions_seeking_clarification_or_elaboration_of_requirements_rather_than_debugging_code_generation_test_generation_or_referencing_an_existing_specification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_the_model_to_provide_functional_requirements_from_a_specification_which_is_a_request_for_information_rather_than_code_debugging_or_test_creation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_to_enumerate_functional_requirements_from_the_specification_seeking_clarification_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_whether_the_provided_implementation_should_be_modified_to_handle_a_broader_set_of_hidden_test_cases_seeking_clarification_on_potential_shortcomings_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_asks_whether_the_provided_test_case_is_valid_and_covers_an_edge_case_seeking_confirmation_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_adding_a_new_requirement_clarifying_the_desired_behavior_of_the_system_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_adding_a_new_requirement_to_the_specification_seeking_clarification_or_definition_of_the_rule_rather_than_requesting_code_debugging_or_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_a_conceptual_question_about_handling_a_valid_request_when_at_least_one_resource_must_remain_unallocated_seeking_clarification_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_a_conceptual_question_about_whether_to_include_a_meeting_end_time_in_the_requirements_seeking_clarification_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_a_question_to_clarify_the_nature_of_a_failure_seeking_confirmation_about_missing_constraint_vs_invariant_violation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_a_question_to_understand_why_tests_and_code_are_inefficient_seeking_clarification_about_missing_requirements_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_a_theoretical_question_about_whether_the_new_requirement_constitutes_an_invariant_violation_seeking_clarification_before_proceeding_to_code_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_about_potential_edge_cases_that_could_cause_issues_seeking_clarification_rather_than_debugging_code_generation_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_about_the_type_format_and_valid_values_of_something_seeking_clarification_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_a_concise_list_of_constraints_and_assumptions_which_is_a_request_for_clarification_of_system_requirements_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_a_list_of_constraints_and_assumptions_seeking_clarification_about_the_problem_context_rather_than_code_or_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_a_list_of_negative_requirements_which_is_a_clarification_elicitation_of_system_requirements_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_a_list_of_system_invariants_and_negative_requirements_which_is_a_request_for_clarification_specification_of_requirements_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_advice_on_whether_to_use_tuples_in_their_existing_code_seeking_clarification_on_design_choice_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_an_acceptance_criterion_for_a_new_requirement_which_is_a_clarification_of_requirements_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_an_assessment_of_whether_the_existing_implementation_meets_a_newly_added_requirement_seeking_clarification_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_an_explanation_about_why_scheduling_a_meeting_exactly_at_an_events_end_time_is_disallowed_in_the_public_tests_which_is_a_request_for_clarification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_an_explanation_of_decision_criteria_seeking_clarification_on_how_to_prioritize_scenarios_not_requesting_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_an_explanation_of_decision_logic_for_prioritizing_scenarios_seeking_clarification_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_an_explanation_of_how_the_updated_solution_satisfies_the_new_requirement_which_is_a_request_for_clarification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_an_explanation_of_scenarios_that_would_cause_failures_due_to_requirement_gaps_seeking_clarification_rather_than_code_or_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_an_explanation_of_the_current_state_and_missing_functionality_seeking_clarification_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_an_explanation_of_the_final_two_steps_and_loops_indicating_they_need_clarification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_an_explanation_of_the_implementation_approach_under_given_constraints_seeking_clarification_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_an_explanation_of_the_input_parameters_types_formats_and_valid_values_which_is_a_request_for_clarification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_an_explanation_of_the_purpose_of_the_suggest_slots_function_which_is_a_request_for_clarification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_an_explanation_of_tie_breaking_rules_for_prioritizing_scenarios_seeking_clarification_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_an_explanation_of_what_a_function_returns_seeking_clarification_about_code_behavior_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_an_explanation_of_what_the_function_returns_its_possible_values_and_the_reasons_for_each_which_is_a_request_for_clarification_rather_than_code_or_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_an_explanation_of_what_the_function_returns_which_is_a_clarification_request_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_analysis_of_the_new_requirements_impact_validation_of_current_solution_identification_of_failing_scenarios_cause_of_failure_and_which_artifacts_need_updating_which_are_clarification_tasks_rather_than_code_generation_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_clarification_about_the_requirement_that_at_least_one_resource_must_remain_unallocated_after_execution_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_clarification_about_the_rule_for_a_15minute_gap_after_busy_events_not_requesting_code_debugging_or_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_clarification_about_which_scenarios_would_cause_failures_under_the_given_requirement_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_clarification_on_how_a_meeting_start_time_constraint_cannot_start_after_15_affects_slot_inclusion_seeking_understanding_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_clarification_on_how_to_interpret_a_given_requirement_not_requesting_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_clarification_on_the_expected_behavior_when_a_request_asks_for_an_unavailable_resource_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_clarification_on_the_intended_behavior_of_the_function_when_handling_different_input_types_float_vs_integer_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_clarification_on_whether_a_condition_tol_resources__tol_requested_is_still_considered_feasible_under_new_rules_indicating_they_need_an_explanation_rather_than_code_or_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_clarification_on_whether_rejecting_technically_valid_allocations_will_affect_existing_logic_indicating_a_need_for_understanding_behavior_rather_than_code_changes_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_confirmation_whether_their_existing_solution_satisfies_a_new_requirement_seeking_clarification_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_detailed_information_about_the_functions_input_parameters_and_return_value_seeking_clarification_rather_than_code_debugging_tests_or_referencing_a_specification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_details_about_input_parameters_seeking_explanations_of_types_formats_and_valid_values_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_details_about_the_functions_inputs_their_types_formats_and_valid_values_which_is_a_request_for_clarification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_guidance_on_how_to_approach_implementing_a_specific_function_seeking_clarification_rather_than_code_debugging_tests_or_referencing_a_specification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_guidance_on_how_to_determine_if_the_current_day_is_friday_seeking_clarification_rather_than_requesting_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_guidance_on_how_to_enforce_a_new_requirement_at_least_one_capacity_by_possibly_adding_a_forloop_which_is_a_clarification_request_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_guidance_on_how_to_execute_pytest_to_check_a_function_which_is_a_request_for_clarification_rather_than_code_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_guidance_on_how_to_implement_the_meeting_slot_suggestion_function_seeking_clarification_on_approach_rather_than_code_debugging_tests_or_specifications_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_guidance_on_how_to_import_time_and_date_modules_in_python_which_is_a_clarification_request_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_guidance_on_how_to_open_a_forked_github_repository_in_vs_code_and_set_it_up_for_direct_commits_which_is_an_informational_clarification_request_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_guidance_on_how_to_re_execute_an_existing_test_file_which_is_a_clarification_request_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_guidance_on_how_to_update_their_solution_tests_and_documentation_to_meet_a_new_requirement_and_wants_to_know_if_the_current_implementation_already_satisfies_it_which_is_a_request_for_clarification_rather_than_code_generation_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_guidance_on_how_to_verify_the_patched_code_and_which_tests_would_fail_if_the_friday_rule_is_incomplete_which_is_a_request_for_clarification_rather_than_code_generation_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_guidance_on_the_decision_criteria_for_selecting_a_resource_to_unallocate_which_is_a_clarification_request_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_guidance_on_using_gitignore_for___pycache___which_is_a_clarification_request_about_best_practices_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_guidance_on_what_to_add_to_the_code_to_enforce_a_rule_no_meetings_after_1500_on_fridays_which_is_a_request_for_clarification_rather_than_code_debugging_test_generation_or_referencing_a_specific_specification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_guidance_on_whether_to_remove_or_keep_the_notimplementederror_placeholder_seeking_clarification_about_handling_the_todo_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_information_about_how_many_tests_were_generated_which_is_a_request_for_clarification_rather_than_code_generation_debugging_or_specification_use_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_information_about_potential_edge_cases_in_hidden_tests_which_is_a_request_for_clarification_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_information_about_test_coverage_seeking_clarification_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_information_about_test_coverage_seeking_clarification_rather_than_requesting_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_insight_into_a_potential_missing_constraint_or_assumption_seeking_clarification_rather_than_code_or_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_instructions_on_creating_a_python_virtual_environment_which_is_a_request_for_clarification_or_guidance_rather_than_code_generation_debugging_testing_or_referencing_a_specification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_instructions_on_how_to_fork_a_repository_seeking_clarification_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_instructions_on_how_to_run_python_tests_in_vs_code_seeking_clarification_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_instructions_on_how_to_run_python_tests_in_vs_code_which_is_a_request_for_clarification_rather_than_code_generation_debugging_or_test_creation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_potential_edge_cases_that_could_cause_problems_seeking_clarification_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_suggested_acceptance_criteria_which_is_a_request_for_clarification_definition_of_requirements_rather_than_debugging_code_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_for_the_location_of_a_list_of_events_seeking_information_rather_than_debugging_or_generating_code_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_how_system_requirements_should_be_modified_based_on_a_test_case_outcome_seeking_clarification_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_how_to_execute_existing_pytest_tests_from_the_command_line_seeking_clarification_on_usage_rather_than_debugging_or_generating_code_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_how_to_execute_existing_test_and_solution_files_seeking_guidance_rather_than_debugging_or_generating_code_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_how_to_implement_a_new_requirement_at_least_one_resource_must_remain_unallocated_which_is_a_request_for_clarification_rather_than_code_debugging_test_generation_or_referencing_a_specific_specification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_the_llm_to_correct_the_transcript_to_include_the_exact_dialogue_seeking_clarification_on_how_to_format_or_fix_it_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_the_llm_to_correct_the_transcript_to_include_the_exact_dialogue_seeking_clarification_on_how_to_format_the_output_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_the_llm_to_explain_the_existing_algorithm_before_proceeding_which_is_a_request_for_clarification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_the_model_to_analyze_provided_documentation_and_tests_to_list_required_specifications_constraints_and_functions_which_is_a_request_for_clarification_of_requirements_rather_than_code_generation_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_the_model_to_analyze_provided_documentation_and_tests_to_list_the_required_specifications_constraints_and_functions_which_is_a_request_for_clarification_of_requirements_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_the_model_to_provide_constraints_and_assumptions_seeking_clarification_on_problem_requirements_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_the_model_to_review_and_critique_their_proposed_algorithm_for_suggest_slots_not_to_debug_existing_code_or_generate_new_code_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_to_confirm_an_exception_rule_whether_work_ends_at_15_on_friday_which_is_a_clarification_request_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_to_confirm_understanding_of_a_rule_allowed_up_to_15_after_not_allowed_which_is_a_clarification_request_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_to_understand_the_meaning_of_an_updated_requirement_regarding_resource_allocation_seeking_clarification_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_to_understand_the_test_failures_shown_in_the_pytest_output_seeking_explanation_of_the_errors_rather_than_requesting_code_changes_or_new_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_what_code_changes_are_needed_to_satisfy_a_new_requirement_seeking_guidance_rather_than_debugging_generating_code_or_creating_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_where_in_the_code_a_certain_action_should_be_performed_seeking_clarification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_whether_an_issue_is_due_to_a_missing_constraint_or_an_invariant_violation_seeking_clarification_about_the_nature_of_the_problem_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_whether_the_existing_solution_code_needs_to_be_altered_beyond_adjusting_a_comparison_seeking_clarification_on_required_changes_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_whether_the_provided_code_snippet_meets_the_requirement_seeking_validation_rather_than_debugging_or_generating_new_code_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_whether_the_provided_implementation_needs_changes_to_handle_hidden_test_cases_seeking_clarification_on_adequacy_of_the_current_code_rather_than_requesting_new_code_tests_or_debugging_output_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_whether_the_provided_test_case_will_pass_under_a_new_condition_seeking_clarification_on_expected_behavior_rather_than_requesting_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_whether_the_resource_allocation_is_feasible_and_describing_intended_work_seeking_clarification_rather_than_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_whether_the_written_test_cases_are_correct_seeking_validation_rather_than_generating_new_code_or_debugging_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_which_interpretation_of_a_requirement_apply_to_all_resource_types_vs_at_least_one_makes_more_sense_seeking_clarification_rather_than_debugging_or_code_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_why_pip_is_using_the_anaconda_installation_and_expressing_they_dont_want_anaconda_seeking_explanation_of_the_environment_setup_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_why_pip_is_using_the_anaconda_installation_path_and_expressing_they_dont_want_anaconda_seeking_an_explanation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_asking_why_the_final_two_steps_and_loops_are_needed_seeking_clarification_on_the_algorithms_logic_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_clarifying_the_requirement_that_at_least_one_resource_must_have_non_zero_capacity_indicating_they_are_seeking_clarification_on_a_constraint_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_confirming_that_the_provided_json_time_range_represents_a_30minute_interval_indicating_they_are_seeking_clarification_of_the_data_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_discussing_and_brainstorming_requirements_and_edge_cases_for_a_scheduling_function_before_writing_code_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_discussing_the_feasibility_and_usefulness_of_a_requirement_listing_srt_times_indicating_they_are_seeking_clarification_on_the_specification_rather_than_debugging_or_generating_code_tests_share,125,,,,,,1.0
